1,37.56,126.97
2,35.18,129.07
3,35.87,128.6
4,37.74,126.48
5,37.97,124.71
6,37.45,126.7
7,35.18,126.85
8,35.87,128.6
9,35.53,129.31
10,37.26,127.02
11,37.49,127.48
12,37.27,127.43
13,37.75,126.77
14,37.9,127.06
15,37.75,128.87
16,37.69,127.88
17,37.16,128.98
18,37.88,127.73
19,38.14,127.31
20,37.38,128.66
21,38.06,128.17
22,37.34,127.91
23,37.18,128.46
24,38.2,128.59
25,37.95,127.72
26,37.52,129.11
27,37.67,128.7
28,36.48,127.72
29,37.13,128.19
30,36.64,127.48
31,36.21,127.99
32,36.99,127.92
33,36.08,126.69
34,36.27,126.9
35,36.91,126.62
36,36.34,126.61
37,36.47,127.08
38,36.6,126.66
39,35.37,127.13
40,35.43,126.7
41,35.95,126.95
42,35.57,126.85
43,36.65,127.47
44,35.37,127.13
45,35.61,127.28
46,35.64,127.52
47,35.43,127.41
48,35.62,126.89
49,34.64,126.76
50,34.68,126.9
51,34.94,127.69
52,35,126.71
53,34.99,126.48
54,34.77,127.07
55,34.76,127.66
56,36.82,127.1
57,35.27,126.51
58,34.31,126.75
59,34.68,126.9
60,35.07,127.23
61,34.45,126.3
62,34.48,126.26
63,34.57,126.59
64,34.68,125.42
65,35.8,129.25
66,36.2,128.36
67,36.58,128.18
68,36.89,128.73
69,36.41,128.05
70,35.83,129.17
71,36.41,129.36
72,36.85,128.57
73,36.67,128.17
74,37.48,130.9
75,36.99,129.4
76,36.35,128.69
77,36.43,129.05
78,36.01,129.34
79,34.88,128.62
80,35.68,127.9
81,35.55,129.24
82,34.83,127.89
83,35.55,129.24
84,35.3,128.6
85,35.41,127.87
86,35.34,129.03
87,35.32,128.26
88,35.18,128.1
89,35.22,128.68
90,35.04,128.04
91,35.52,127.72
92,35.52,128.16
93,33.3,126.19
94,33.25,126.51
95,33.38,126.88
96,33.49,126.53
97,36.48,127.29
